rep,stress,breadth,unit_share,unit_acceptance,total_completion
9,0.5,0.6,0.23646359429212,0.3755560956836424,0.6853184222026151
9,0.5,0.8,0.3753478239380707,0.5527788916394663,0.7725281431813136
9,0.5,1.0,0.4926409368136795,0.7266253186568221,0.8992298790040071
9,0.7,0.4,0.29751214451365077,0.34188083263099023,0.53945645127321
9,0.7,0.6,0.46908932638079753,0.4966672938707192,0.6554697796417223
9,0.7,0.8,0.5111924857678681,0.6549825093268076,0.7837834047304507
9,0.7,1.0,0.5962583912403276,0.8080700409262886,0.9069287241105626
9,0.9,0.4,0.5908398370967543,0.42125355481918236,0.463384486032138
9,0.9,0.6,0.6433864229095928,0.5658862715267157,0.6084651471139301
9,0.9,0.8,0.7252043543535673,0.7179645640604068,0.770638693537435
9,0.9,1.0,0.7836311790334067,0.8595779771561861,0.9611966558266309
10,0.1,0.4,0.0169044727620336,0.07717415473079914,0.9302629962066666
10,0.1,0.6,0.0260955737426107,0.14404553790408728,0.8657928922508109
10,0.1,0.8,0.09407261905940377,0.2575011382272349,0.8243774084009154
10,0.1,1.0,0.10632673682515702,0.3849019837011828,0.9170887394628544
10,0.3,0.4,0.05498065625016148,0.14463652066151741,0.8214814531154948
10,0.3,0.6,0.12363309550131873,0.25744006394682384,0.7559842257250341
10,0.3,0.8,0.14410967985950646,0.394860513632874,0.7441943434822583
10,0.3,1.0,0.23608378596459392,0.567723019154284,0.8701963730097532
10,0.5,0.4,0.18337613986502208,0.24583908675045926,0.6063411711453438
10,0.5,0.6,0.2645860393551117,0.3857007880284142,0.6927651260940065
10,0.5,0.8,0.3203718337780472,0.5469363957560613,0.8238794995915407
10,0.5,1.0,0.389166037600069,0.7176529984628179,0.8680631796644502
10,0.7,0.4,0.31313938654528767,0.3464104301757476,0.5085239832125386
10,0.7,0.6,0.4146140144141877,0.4923612198289531,0.7096218304855315
10,0.7,0.8,0.530957455725719,0.6520832771592188,0.7827698335577076
10,0.7,1.0,0.6241819753464792,0.8113751520000825,0.88012955940435
10,0.9,0.4,0.6387503320788558,0.4239312783569,0.47699178641086665
10,0.9,0.6,0.6569451848324057,0.5710452699339901,0.6657364243299544
10,0.9,0.8,0.7590908814323195,0.7178665691183095,0.7935845905361175
10,0.9,1.0,0.8814993964037388,0.8611914672496663,0.9502509351466848
11,0.1,0.4,0.01941665902182273,0.07727167078184928,0.8415802474867329
11,0.1,0.6,0.029793310238130234,0.15267380620656185,0.94824709406202
11,0.1,0.8,0.06707308345507164,0.24967930439143926,0.895964634886437
11,0.1,1.0,0.06371190614710548,0.3872984192560058,0.9585416874907579
11,0.3,0.4,0.07777977434397802,0.14967588875877405,0.6714082745483356
11,0.3,0.6,0.14417415453897764,0.2540809036126201,0.7094913519346651
11,0.3,0.8,0.1886499777266679,0.38441791846322465,0.799873992904192
11,0.3,1.0,0.2777920749498398,0.5673925467983031,0.9236001076611593
11,0.5,0.4,0.21802740620697575,0.25127542368924477,0.5378293561869231
11,0.5,0.6,0.2362609488569024,0.377802481836454,0.6775995943537403
11,0.5,0.8,0.3884033462159114,0.5494137263472436,0.8014751164760725
11,0.5,1.0,0.4472601397799161,0.7127044247258304,0.9255205242976581
11,0.7,0.4,0.32757516499898715,0.3444888209370448,0.5683972415932501
11,0.7,0.6,0.4816738477980032,0.4917945966034423,0.5958964241789542
11,0.7,0.8,0.5798338234345283,0.6487499988485398,0.699676254877676
11,0.7,1.0,0.603337294999177,0.8068423613183712,0.9071810047657506
11,0.9,0.4,0.5135160038689526,0.42209157823954097,0.4967578207301775
11,0.9,0.6,0.5731495056408756,0.5703430449803042,0.6772341750157597
11,0.9,0.8,0.6840319716064802,0.7144390878653281,0.7994166403749527
11,0.9,1.0,0.750564433443109,0.8613578521189694,0.9489681634119946
12,0.1,0.4,0.02157259002581512,0.07965632460673673,0.8860216827081306
12,0.1,0.6,0.03635214361647707,0.14048720022680788,0.9333380201870289
12,0.1,0.8,0.039236466298791135,0.24267751516242528,1.0
12,0.1,1.0,0.06880207096711773,0.3841620379238831,0.9073522820132797
12,0.3,0.4,0.07267775110617654,0.14968272999008528,0.759554703038714
12,0.3,0.6,0.11673292814067625,0.2638833303599854,0.8001338999553131
12,0.3,0.8,0.21627886880180863,0.3956353492543126,0.8213233340279245
12,0.3,1.0,0.27207206193858685,0.5620053574356103,0.8498069693242457
12,0.5,0.4,0.1660407361805829,0.2357259152317138,0.5693209203444949
12,0.5,0.6,0.27598373033516577,0.38152818511226205,0.7096281611118757
12,0.5,0.8,0.33259444279065614,0.5467461678203454,0.8126723542699418
12,0.5,1.0,0.4360491233058035,0.7157077021614586,0.8737693093518758
12,0.7,0.4,0.3164773198190284,0.3450924033217721,0.6104136917049446
12,0.7,0.6,0.3887509758930405,0.48788190046882063,0.668866829012128
12,0.7,0.8,0.5364894506902582,0.6444851055115627,0.7360748925211009
12,0.7,1.0,0.6088535191306897,0.8162581343213929,0.9173679609530639
